Code Name Verity,Elizabeth Wein
"An Astronaut’s Guide to Life on Earth: What Going to Space Taught Me About Ingenuity, Determination, and Being Prepared for Anything",Chris Hadfield
Vicious,V. E. Schwab
Contracted Defense,Piper J. Drake
Seventy Maxims of Maximally Effective Mercenaries,"Howard Tayler
(Note: the book is shipping now to Kickstarter backers. You can order it now via Backerkit, but it won’t appear at Amazon or the Schlock Mercenary store until August.)"
Plea,Mary Anne Mohanraj
The Savage Dead,Joe McKinney
Nexus,Ramez Naam
Shutter,Courtney Alameda
¹ Available in the Hugo Voter packet,The 2017 Hugo nominees for Best Short Story:
"Operation Endgame, Book 6 of the Ministry of Peculiar Occurences",Tee Morris and Pip Ballantine
A Red Peace,"Spencer Ellsworth,"
Hazardous Tales,Nathan Hale
Survivor,Mary Anne Mohanraj and JJ Pionke (coming soon from Lethe Press)
Through Fire,"Sarah Hoyt, and Neither Here Nor There, a collection from Cat Rambo"
"Called to Battle, Volume 2  ",Howard Tayler (from from Privateer Press.)
Memory of Water,Emmi Itäranta
The Incredible Adventures of Cinnamon Girl,Melissa Keil
Tiny Frontiers,", from Gallant Knight Games and Alan Bahr"
Every Heart a Doorway,Seanan McGuire
The Adventures of Dr. McNinja,Christopher Hastings
The Lost Book of the White,Wesley Chu and Cassandra Claire has been retitled and rescheduled. You should (eventually) be looking for:
Boilerplate,Paul Guinan and Anina Bennett
Hungry Ghosts,Stephen Blackmoore
The Butcher of Khardov,Dan Wells
Oathbringer,Brandon Sanderson
Always Coming Home,Ursula Le Guin
The Diabolic,SJ Kincaid
"Ladycastle, ","Delilah Dawson, Illustrated by Ashley A. Woods and Rebecca Farrow"
